/Users/deusjohn/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

=======================================================
  TOSCI DETAILED SCRAPER — SHAMBA SMART
  Website: https://tosci.go.tz/seed-varieties
=======================================================

  Reusing existing list: /Users/deusjohn/Documents/Shamba smart/scripts/output/tosci_list.csv
  Loaded 1174 varieties from cache

=======================================================
  PHASE 2 — Scraping variety detail pages
=======================================================
  [   1/1174] H 515                          Maize | Iringa,Mbeya | yield:4.0-5.0
  [   2/1174] H511                           Maize | Kilimanjaro,Arusha | yield:4.0-5.0
  [   3/1174] H625                           Maize | Iringa,Ruvuma | yield:9.0 – 10.0
  [   4/1174] H632                           Maize | Kilimanjaro,Mbeya | yield:6.0-7.0
  [   5/1174] Hombolo 95                     Cassava | Pwani,Morogoro | yield:39
  [   6/1174] Kalalu                         Paddy | Morogoro,Kilimanjaro | yield:44595
  [   7/1174] KIBO KALE                      Kale | — | yield:—
  [   8/1174] Kito                           Maize | Kilimanjaro,Morogoro | yield:2.0 – 3.0
  [   9/1174] Lishe –K1                      Maize | Arusha,Manyara | yield:4.0-6.0
  [  10/1174] Longe 2H                       Maize | Kilimanjaro,Arusha | yield:—
  [  11/1174] Naliendele                     Cassava | Pwani,Morogoro | yield:12
  [  12/1174] PAN 23                         Maize | Iringa,Mbeya | yield:4.0-7
  [  13/1174] Record                         Sunflower | Morogoro,Pwani | yield:1.0-2.0
  [  14/1174] Uh615                          Maize | Arusha,Mbeya | yield:6.0 – 8.0
  [  15/1174] 3.TANWAT T.87                  Triticale | Mbeya,Iringa | yield:4
  [  16/1174] 30G19                          Maize | Medium altitude | yield:7-11 t/ha
  [  17/1174] 8519                           Barley | Arusha,Manyara | yield:2.0-3.5
  [  18/1174] 9831                           Barley | Arusha,Manyara | yield:2.0-3.0
  [  19/1174] AC 1                           Cashew | Pwani,Mtwara | yield:36
  [  20/1174] AC 10                          Cashew | Pwani,Mtwara | yield:39
  [  21/1174] AC 10/129                      Cashew | Pwani,Mtwara | yield:67
  [  22/1174] AC 10/220                      Cashew | Pwani | yield:53
  [  23/1174] AC 14                          Cashew | Pwani,Mtwara | yield:41
  [  24/1174] AC 22                          Cashew | Pwani,Mtwara | yield:36
  [  25/1174] AC 34                          Cashew | Pwani,Mtwara | yield:47
  [  26/1174] AC 4                           Cashew | Pwani,Mtwara | yield:59
  [  27/1174] AC 4/17                        Cashew | Pwani,Mtwara | yield:16
  [  28/1174] AC 4/285                       Cashew | Pwani,Mtwara | yield:29
  [  29/1174] AC 43                          Cashew | Pwani,Mtwara | yield:55
  [  30/1174] AC004                          Tomato | — | yield:—
  [  31/1174] AC100                          Sweet pepper | — | yield:—
  [  32/1174] ADAM F1                        Watermelon | — | yield:—
  [  33/1174] ADITI 308 F1                   Watermelon | — | yield:—
  [  34/1174] ADMIRAL                        Chill pepper | — | yield:—
  [  35/1174] ADV 1348                       Cabbage | — | yield:—
  [  36/1174] ADV 848                        Okra | — | yield:—
  [  37/1174] ADV12131                       Tomato | — | yield:—
  [  38/1174] ADV1225                        Tomato | — | yield:—
  [  39/1174] ADV1285                        Tomato | — | yield:—
  [  40/1174] ADV2308W                       Maize | low-medium | yield:6.0-7.0
  [  41/1174] ADV2310W                       Maize | low-medium | yield:6-7.5
  [  42/1174] Advanta 1247                   Tomato | — | yield:—
  [  43/1174] Advanta 1277A                  Tomato | — | yield:—
  [  44/1174] ADVANTA 1405                   Watermelon | — | yield:—
  [  45/1174] ADVANTA 303                    Eggplant | — | yield:—
  [  46/1174] ADVANTA 309                    Eggplant | — | yield:—
  [  47/1174] ADVANTA 814                    Okra | — | yield:—
  [  48/1174] AFADJA                         Hot pepper | — | yield:—
  [  49/1174] Africa red F1                  Onion | — | yield:—
  [  50/1174] African Beauty F1              Eggplant | — | yield:—
2026-05-24 20:21:14,205 [INFO]   Progress saved: 50 varieties → /Users/deusjohn/Documents/Shamba smart/scripts/output/progress/progress_50.json
  [  51/1174] Agri F1                        Tomato | — | yield:—
  [  52/1174] AGRISEED H351                  Maize | Low to Medium potential areas | yield:7
  [  53/1174] AGRISEED H352                  Maize | Low to Medium potential areas | yield:6.5
  [  54/1174] AGUARA 4                       Sunflower | Morogoro,Pwani | yield:2.7
  [  55/1174] AGUARA 6                       Sunflower | Low to Medium | yield:3
  [  56/1174] AKERI                          Amaranth | — | yield:—
  [  57/1174] ALMASI F1                      Cabbage | — | yield:—
  [  58/1174] ALPES RZ F1                    Melon | — | yield:—
  [  59/1174] AMBASSADOR                     Squash | — | yield:—
  [  60/1174] AMBURANA                       Tomato | — | yield:—
  [  61/1174] AMBURENI                       African nightshade | — | yield:—
  [  62/1174] AMH500                         Maize | Low to Mid altitude up to 1500 masl. | yield:—
  [  63/1174] AMH501                         Maize | Low to Mid altitude up to 1500 masl. | yield:—
  [  64/1174] AMY                            Garden beans | — | yield:—
  [  65/1174] ANCILA                         Sunflower | Low to High | yield:2.2
  [  66/1174] ANDAMAN F1                     Watermelon | — | yield:—
  [  67/1174] ANITA F1                       Watermelon | — | yield:—
  [  68/1174] ANNA F1                        Tomato | — | yield:—
  [  69/1174] ANSAL                          Tomato | — | yield:—
  [  70/1174] ANTEO                          Tomato | — | yield:—
  [  71/1174] ARASHAN.                       Watermelon | — | yield:—
  [  72/1174] ARCHEO                         Sunflower | Low to High | yield:2.2
  [  73/1174] ARIANA                         Tomato | — | yield:—
  [  74/1174] Arize6444 Gold                 Paddy | Mwanza,Mtwara | yield:5
  [  75/1174] Arizona                        Round Potato | All areas groun round potato | yield:40-50
  [  76/1174] ARTALE                         Hot pepper | — | yield:—
  [  77/1174] Arumeru                        Ethiopian mustard | Mbeya,Iringa | yield:40-80
  [  78/1174] ARUSHA RZ                      Letuce | — | yield:—
  [  79/1174] ASALI F1                       Watermelon | — | yield:—
  [  80/1174] Asante                         Round Potato | All areas grown iround potato | yield:20-30
  [  81/1174] ASHLEY                         Cucumber | — | yield:—
  [  82/1174] ASPEC1                         Papai | — | yield:—
  [  83/1174] ASPEC2                         Papai | — | yield:—
  [  84/1174] ASPEC3                         Papai | — | yield:—
  [  85/1174] ASSILA F1                      Tomato | — | yield:—
  [  86/1174] ASTRA F1                       Tomato | — | yield:—
  [  87/1174] Atlanta CS                     Carrot | — | yield:—
  [  88/1174] AUGUSTA                        Watermelon | — | yield:—
  [  89/1174] AURORA                         Callery | — | yield:—
  [  90/1174] AVPP1342                       Sweet pepper | — | yield:—
  [  91/1174] AVTO 1890                      Tomato | — | yield:—
  [  92/1174] AVTO1864                       Tomato | — | yield:—
  [  93/1174] AZA 17                         Cashew | Pwani,Mtwara | yield:47
  [  94/1174] AZA 17/156                     Cashew | Pwani,Mtwara | yield:62
  [  95/1174] AZA 17/158                     Cashew | Pwani,Mtwara | yield:14
  [  96/1174] AZA 17/79                      Cashew | Pwani,Mtwara | yield:14
  [  97/1174] AZA 2                          Cashew | Pwani,Mtwara | yield:49
  [  98/1174] Azimio 87                      Wheat | Arusha,Manyara | yield:1.8-3.0
  [  99/1174] Bahati F1                      Tomato | — | yield:—
  [ 100/1174] Balash F1                      Cabbage | — | yield:—
2026-05-24 20:23:21,704 [INFO]   Progress saved: 100 varieties → /Users/deusjohn/Documents/Shamba smart/scripts/output/progress/progress_100.json
  [ 101/1174] BALLERINA RZ                   Letuce | — | yield:—
  [ 102/1174] Bansal F1                      Tomato | — | yield:—
  [ 103/1174] BARAKA F1                      Cabbage | — | yield:—
  [ 104/1174] BARIDI F1                      Cabbage | — | yield:—
  [ 105/1174] BARONESA RZ F1                 Watermelon | — | yield:—
  [ 106/1174] BASHAER                        Tomato | — | yield:—
  [ 107/1174] BATAVIA                        Letuce | — | yield:—
  [ 108/1174] BAWITO F1                      Tomato | — | yield:—
  [ 109/1174] BAXTER F1                      Cabbage | — | yield:—
  [ 110/1174] BE 101 IS F1                   Beet root | — | yield:—
  [ 111/1174] BE 102 IS F1                   Beet root | — | yield:—
  [ 112/1174] BEKI F1.                       Tomato | — | yield:—
  [ 113/1174] Belinde                        Cassava | Mwanza,Kagera | yield:16-23
  [ 114/1174] Bella F1                       Sweet pepper | — | yield:—
  [ 115/1174] Benue F1                       African eggplant | — | yield:—
  [ 116/1174] BETA F1                        Onion | — | yield:—
  [ 117/1174] BIG BELL                       Sweet pepper | — | yield:—
  [ 118/1174] BILFA 16                       Bean | Mbeya,Iringa | yield:1.5-2.5
  [ 119/1174] Bima                           Barley | Arusha,Manyara | yield:1.0-2.1
  [ 120/1174] Bingwa F1                      Eggplant | — | yield:—
  [ 121/1174] BLACK BEAUTY                   Eggplant | — | yield:—
  [ 122/1174] BLACK GIANT                    Eggplant | — | yield:—
  [ 123/1174] BLACK QUEEN F1                 Watermelon | — | yield:—
  [ 124/1174] BLACK ROCK F1                  Egg plant | — | yield:—
  [ 125/1174] BLUE DYNASTY                   Cabbage | — | yield:—
  [ 126/1174] BLUE ROCK F1                   Tomato | — | yield:—
  [ 127/1174] Bluesma                        Cabbage | — | yield:—
  [ 128/1174] BNS 213                        Buttenut | — | yield:—
  [ 129/1174] BOELLI                         Finnel | — | yield:—
  [ 130/1174] BOLOGNA RZ F1                  Cucumber | — | yield:—
  [ 131/1174] BOOGIE RZ F1                   Sweet pepper | — | yield:—
  [ 132/1174] BOOMER RZ F1                   Hot pepper | — | yield:—
  [ 133/1174] Bora                           Maize | Morogoro | yield:4.5
  [ 134/1174] BORA F1                        Tomato | — | yield:—
  [ 135/1174] Bossier                        Soya Bean [Glycine max | Areas growing soya bean | yield:—
  [ 136/1174] BR203                          Maize | low-medium | yield:05-07
  [ 137/1174] BRIGITTE RZ F1                 Eubergine | — | yield:—
  [ 138/1174] BRUMA RZ                       Letuce | — | yield:—
  [ 139/1174] BSI 1                          Maize | Medium to High Altitude | yield:6.7
  [ 140/1174] BUFFALO F1                     Sweet pepper | — | yield:—
  [ 141/1174] Bukoba 1                       Coffee | — | yield:2.6-3.1
  [ 142/1174] Bulldozer F1                   Watermelon | — | yield:—
  [ 143/1174] BWT SAFA F1                    Tomato | — | yield:—
  [ 144/1174] C 101 F1 SYNGENTA TANZANIA LTD. Cabbage | — | yield:—
  [ 145/1174] C5051                          Maize | Morogoro,Iringa | yield:10.0-15.0
  [ 146/1174] C5121                          Maize | Morogoro,Iringa | yield:10.0-15.0
  [ 147/1174] C6222                          Maize | Morogoro | yield:10.0-15.0
  [ 148/1174] CA 85FX F1                     Cabbage | — | yield:—
  [ 149/1174] CAB VICTORIA                   Cabbage | — | yield:—
  [ 150/1174] CAL J                          Tomato | — | yield:—
2026-05-24 20:25:31,312 [INFO]   Progress saved: 150 varieties → /Users/deusjohn/Documents/Shamba smart/scripts/output/progress/progress_150.json
  [ 151/1174] CAL J VF                       Tomato | — | yield:—
  [ 152/1174] CALABRESE                      Broccoli | — | yield:—
  [ 153/1174] CALIFONIA WONDER               Sweet pepper | — | yield:—
  [ 154/1174] CALIFORNIA SUPREME             Sweet pepper | — | yield:—
  [ 155/1174] Calima-Uyole                   Bean | Medium to High Altitude | yield:2.0 t/ha
  [ 156/1174] CALYPSO FSC                    Sweet pepper | — | yield:—
  [ 157/1174] Canadian    wonder             Bean | Arusha,Kilimanjaro | yield:1.1-2.4
  [ 158/1174] CANDENTE X3R                   Sweet pepper | — | yield:—
  [ 159/1174] CANDETE                        Pepper | — | yield:—
  [ 160/1174] CAP9001                        Maize | — | yield:—
  [ 161/1174] Captain F1                     Tomato | — | yield:—
  [ 162/1174] CARIBBEAN GOLD RZ F1           Melon | — | yield:—
  [ 163/1174] CARIBBEAN KING RZ F1           Melon | — | yield:—
  [ 164/1174] CARTAGENAS RZ                  Letuce | — | yield:—
  [ 165/1174] CASPER RZ F1                   Cauliflower | — | yield:—
  [ 166/1174] CAYMAN                         Round Potato | high | yield:35-50
  [ 167/1174] CC 37                          Tobacco | Tobacco grown areas | yield:3.5
  [ 168/1174] CC26                           Tobacco | — | yield:1.4 - 1.8t/ha
  [ 169/1174] CC27                           Tobacco | — | yield:1.4 - 1.8t/ha
  [ 170/1174] CC35                           Tobacco | — | yield:1.5 - 2t/ha
  [ 171/1174] CERA F1                        Squash | — | yield:—
  [ 172/1174] CEYLON                         Onion | — | yield:—
  [ 173/1174] CG4142                         Maize | Morogoro | yield:4.8
  [ 174/1174] CH-SATO1                       Paddy | Eastern,Southern | yield:7.8
  [ 175/1174] CH-SATO9                       Paddy | Eastern,Southern | yield:8.2
  [ 176/1174] Chaka                          Cabbage | — | yield:—
  [ 177/1174] Challenger                     Round Potato | All areas groun round potato | yield:35-50
  [ 178/1174] CHARSANO                       Swiss chard | — | yield:—
  [ 179/1174] Chenin Nyeupe                  Grape vine | Dodoma | yield:11232
  [ 180/1174] Chereko                        Cassava | Eastern and Central Zones | yield:20.6
  [ 181/1174] CHEUPE                         Bean | Arusha,Manyara | yield:2.5-3.0
  [ 182/1174] CHIRACHA                       Hot pepper | — | yield:—
  [ 183/1174] Chiriku                        Wheat | Arusha,Manyara | yield:2.2
  [ 184/1174] Cholima 1                      ? | Morogoro,Pwani | yield:6.5
  [ 185/1174] Cholima 3                      ? | Morogoro | yield:6.5
  [ 186/1174] CINDRELLA F1                   Pumpkin | — | yield:—
  [ 187/1174] CLEMSON SPINELESS              Okra | — | yield:—
  [ 188/1174] CLX38365                       Tomato | — | yield:—
  [ 189/1174] COLUMBIA RZ F1                 Watermelon | — | yield:—
  [ 190/1174] COMBAS                         Mahindi | — | yield:—
  [ 191/1174] COMMANDO F1                    Tomato | — | yield:—
  [ 192/1174] COMMON                         Persley | — | yield:—
  [ 193/1174] CONCORDE RZ                    Letuce | — | yield:—
  [ 194/1174] COPENHAGEN MARKET              Cabbage | — | yield:—
  [ 195/1174] CORTON                         Cabbage | — | yield:—
  [ 196/1174] Cosmos                         Ornamental Flower | — | yield:—
  [ 197/1174] COSMOS F1                      Sweet Pepper | — | yield:—
  [ 198/1174] CP 201                         Maize | Low to Medium Altitude | yield:5.4
  [ 199/1174] CP 808                         Maize | Low to Medium Altitude | yield:5.4
  [ 200/1174] CRIMSON GLOBE                  Beet root | — | yield:—
2026-05-24 20:27:49,533 [INFO]   Progress saved: 200 varieties → /Users/deusjohn/Documents/Shamba smart/scripts/output/progress/progress_200.json
  [ 201/1174] CRIMSON SWEET                  Watermelon | — | yield:—
  [ 202/1174] CRN 1435                       Sunflower | Morogoro,Pwani | yield:2.0-2.5
  [ 203/1174] CRN 3891                       Maize | Iringa,Mbeya | yield:8.0-9.0
  [ 204/1174] CRN3631                        Maize | Arusha,Kilimanjaro | yield:8.1
  [ 205/1174] CU 101 IS F1                   Cucumber | — | yield:—
  [ 206/1174] CU 102 IS F1                   Cucumber | — | yield:—
  [ 207/1174] CU 3174 F1                     Cucumber | — | yield:—
  [ 208/1174] DAISY F1                       Pumpkin | — | yield:—
  [ 209/1174] Dakawa                         Paddy | Morogoro,Kilimanjaro | yield:3.5-5.2
  [ 210/1174] DARINA                         Cucumber | — | yield:—
  [ 211/1174] Darina mix                     Cucumber | — | yield:—
  [ 212/1174] DB  3                          African Eggplant | Iringa,Dodoma | yield:40-90
  [ 213/1174] DDV 10                         Tobacco | Tobacco grown areas | yield:2.3
  [ 214/1174] DDV 42                         Tobacco | Tobacco grown areas | yield:2.3
  [ 215/1174] DDV 43                         Tobacco | Tobacco grown areas | yield:2.3
  [ 216/1174] DELTA F1                       Cabbage | — | yield:—
  [ 217/1174] Demon F1                       Hot pepper | — | yield:—
  [ 218/1174] DETROIT DARK RED               Beet root | — | yield:—
  [ 219/1174] DH 03                          Maize | Morogoro,Tanga | yield:Above 6.0
  [ 220/1174] DH 04                          Maize | Iringa,Mbeya | yield:8
  [ 221/1174] DH01                           Maize | Pwani,Tanga | yield:2.0-5.0
  [ 222/1174] DHAHABU TAMU                   Sweetcorn | — | yield:—
  [ 223/1174] DHANIA                         Coriander | — | yield:—
  [ 224/1174] Dibba F1                       Tomato | — | yield:—
  [ 225/1174] DK 8071                        Maize | Iringa,Mbeya | yield:8.0-9.0
  [ 226/1174] DK777                          Maize | Medium to High Altitude | yield:7
  [ 227/1174] DK8031                         Maize | Pwani,Tanga | yield:5.0-8.0
  [ 228/1174] DK8051                         Maize | Pwani,Tanga | yield:6.0-9.0
  [ 229/1174] DKC 97-09                      MAHINDI | MEDIUM TO HIGH | yield:9.0 - 10.0
  [ 230/1174] DKC80-33                       Maize | — | yield:7
  [ 231/1174] DKC80-53                       Maize | — | yield:7
  [ 232/1174] DKC80-73                       Maize | — | yield:7
  [ 233/1174] DKC90-53                       Maize | — | yield:—
  [ 234/1174] DKC90-89                       Maize | Medium altitude | yield:4-6 t/ha
  [ 235/1174] Dodoma                         Cassava | Eastern and Central Zones | yield:36
  [ 236/1174] DRAGON KING                    Watermelon | — | yield:—
  [ 237/1174] DRD 8551                       Tomato | — | yield:—
  [ 238/1174] Dubai F1                       Watermelon | — | yield:—
  [ 239/1174] Duma (Durum)                   Wheat | Arusha,Manyara | yield:1.1-4.5
  [ 240/1174] Duruti & Tengeru 2010          Tomato | Tomato grown areas | yield:40-90
  [ 241/1174] EAS 5019                       Maize | Mid Altitude Wet and Dry Areas | yield:—
  [ 242/1174] EASH 1129                      Maize | Medium altitude | yield:—
  [ 243/1174] EASH 1231                      Maize | Medium altitude | yield:—
  [ 244/1174] EASH 902                       Maize | Low to Medium | yield:—
  [ 245/1174] EDEN                           Tomato | — | yield:—
  [ 246/1174] EDEN F1                        Tomato | — | yield:—
  [ 247/1174] EG 105 IS F1                   Eggplant | — | yield:—
  [ 248/1174] Ekon F1                        Tomato | — | yield:—
  [ 249/1174] EMERALD F1                     Okra | — | yield:—
  [ 250/1174] ENORME F1                      Watermelon | — | yield:—
2026-05-24 20:29:49,362 [INFO]   Progress saved: 250 varieties → /Users/deusjohn/Documents/Shamba smart/scripts/output/progress/progress_250.json
  [ 251/1174] ERKUTOO                        Mahindi | — | yield:—
  [ 252/1174] ESCAZU                         Cabbage | — | yield:—
  [ 253/1174] EXACT RZ                       Letuce | — | yield:—
  [ 254/1174] Fahari                         Cow pea | Morogoro,Pwani | yield:2.4
  [ 255/1174] FAHARI F1                      Chinese cabbage | — | yield:—
  [ 256/1174] FAIDA 3104 F1                  Watermelon | — | yield:—
  [ 257/1174] FAIDA 3169 F1                  Watermelon | — | yield:—
  [ 258/1174] FAIDA F1 - 3104                Tomato | — | yield:—
  [ 259/1174] FALKOR F1                      Sweet pepper | — | yield:—
  [ 260/1174] Falme F1                       Chinese Cabbage | — | yield:—
  [ 261/1174] FANA F1                        Tomato | — | yield:—
  [ 262/1174] FANAKA F1                      Cabbage | — | yield:—
  [ 263/1174] Fancy CS                       Carrot | — | yield:—
  [ 264/1174] FANTASTIC RZ F1                Eubergine | — | yield:—
  [ 265/1174] Farasi F1                      Tomato | — | yield:—
  [ 266/1174] FERRERA                        Cauliflower | — | yield:—
  [ 267/1174] Fibea                          Bean | Medium to High Altitude | yield:2t/ha
  [ 268/1174] FIRENZE                        Tomato | — | yield:—
  [ 269/1174] FLAT WHITE BOAR                Squash | — | yield:—
  [ 270/1174] FORDHOOK GIANT                 Swiss chard | — | yield:—
  [ 271/1174] FORTESA                        Tomato | — | yield:—
  [ 272/1174] GALILEA F1                     Tomato | — | yield:—
  [ 273/1174] GAMBIA                         Sweet pepper | — | yield:—
  [ 274/1174] GEORGIA                        Collards | — | yield:—
  [ 275/1174] GLORIA F1                      Cabbage | — | yield:—
  [ 276/1174] GLORIA STAR                    Cabbage | — | yield:—
  [ 277/1174] GLORY                          Cabbage | — | yield:—
  [ 278/1174] GLORY ENKHUIZEN                Cabbage | — | yield:—
  [ 279/1174] GLORY F1                       Papaya | — | yield:—
  [ 280/1174] GLORY OF ENKHUIZEN             Cabbage | — | yield:—
  [ 281/1174] GOAL                           Garden beans | — | yield:—
  [ 282/1174] GOLDEN SUN F1                  Sweet pepper | — | yield:—
  [ 283/1174] GRACE F1                       Sweet Pepper | — | yield:—
  [ 284/1174] Green finger                   Okra | — | yield:—
  [ 285/1174] GREEN GOLD F1                  Sweet pepper | — | yield:—
  [ 286/1174] GREEN MAGIC F1                 Pumpkin | — | yield:—
  [ 287/1174] GREEN ROCKET                   Chinese cabbage | — | yield:—
  [ 288/1174] GREEN SPROUTING                Broccoli | — | yield:—
  [ 289/1174] GREEN STAR F1                  Okra | — | yield:—
  [ 290/1174] GREEN ZUCCHINI                 Squash | — | yield:—
  [ 291/1174] GREY ZUCCHINI                  Cucumber | — | yield:—
  [ 292/1174] GS10                           Garden beans | — | yield:—
  [ 293/1174] H 1                            Cashew | — | yield:10 kg/tree after 5 years (first harvest)
