variety_name,crop_full,registrant,year,detail_url
H 515,Maize (Zea mays L.),Kenya Seed Co. Ltd,2003,https://www.tosci.go.tz/seed-varieties/h-515
H511,Maize (Zea mays L.),EAC/KARI/,1968,https://www.tosci.go.tz/seed-varieties/h511
H625,Maize (Zea mays L.),Kenya Seed Co. Ltd,2000,https://www.tosci.go.tz/seed-varieties/h625
H632,Maize (Zea mays L.),Kenya Seed Co.,1968,https://www.tosci.go.tz/seed-varieties/h632
Hombolo 95,Cassava  (Manihot spp.),SRI Kibaha,2004,https://www.tosci.go.tz/seed-varieties/hombolo-95
Kalalu,Paddy (Oryza sativa),SUA,2006,https://www.tosci.go.tz/seed-varieties/kalalu
KIBO KALE,Kale (Brasica oleracea var. acephala),Kibo Seed Co Ltd,2022,https://www.tosci.go.tz/seed-varieties/kibo-kale
Kito,Maize (Zea mays L.),ARI -Ilonga,1983,https://www.tosci.go.tz/seed-varieties/kito
Lishe –K1,Maize (Zea mays L.),ARI-Selian,2001,https://www.tosci.go.tz/seed-varieties/lishe-k1
Longe 2H,Maize (Zea mays L.),FICA SEED Ltd,2003,https://www.tosci.go.tz/seed-varieties/longe-2h
Naliendele,Cassava  (Manihot spp.),SRI Kibaha,2003,https://www.tosci.go.tz/seed-varieties/naliendele
PAN 23,Maize (Zea mays L.),Pannar (Pty) Ltd,2003,https://www.tosci.go.tz/seed-varieties/pan-23
Record,Sunflower (Helianthus annus L.),ARI Ilonga,1950,https://www.tosci.go.tz/seed-varieties/record
Uh615,Maize (Zea mays L.),ARI - Uyole,2001,https://www.tosci.go.tz/seed-varieties/uh615
3.TANWAT T.87,Triticale,TANWAT,1987,https://www.tosci.go.tz/seed-varieties/3-tanwat-t-87
30G19,Maize (Zea mays L.),Pioneer Oversees Corporation,2011,https://www.tosci.go.tz/seed-varieties/30g19
8519,Barley (Hordeum vulgare L.),TBL,1996,https://www.tosci.go.tz/seed-varieties/8519
9831,Barley (Hordeum vulgare L.),TBL,2004,https://www.tosci.go.tz/seed-varieties/9831
AC 1,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-1
AC 10,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-10
AC 10/129,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-10-129
AC 10/220,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-10-220
AC 14,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-14
AC 22,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-22
AC 34,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-34
AC 4,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-4
AC 4/17,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-4-17
AC 4/285,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-4-285
AC 43,Cashew (Anacardium occidentale L.),ARI Naliendele,2006,https://www.tosci.go.tz/seed-varieties/ac-43
AC004,Tomato (Solanum lycopersicum),Agricentric Ltd,2023,https://www.tosci.go.tz/seed-varieties/ac004
AC100,Sweet pepper (Capsicum annum L.),Agricentric Ltd,2024,https://www.tosci.go.tz/seed-varieties/ac100
ADAM F1,Watermelon  (Citrullus lanatus    ),BALTON Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/adam-f1
ADITI 308 F1,Watermelon  (Citrullus lanatus    ),EAST WEST SEED LTD,2021,https://www.tosci.go.tz/seed-varieties/aditi-308-f1
ADMIRAL,Chill pepper ( Capsicum annuum ),Syngenta Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/admiral
ADV 1348,Cabbage (Brassica oleracea var. capitata),Epinav Agricultural Solution,2023,https://www.tosci.go.tz/seed-varieties/adv-1348
ADV 848,Okra (Abelmenchus esculantus),UPL Tanzania Limited,2023,https://www.tosci.go.tz/seed-varieties/adv-848
ADV12131,Tomato (Solanum lycopersicum),UPL Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/adv12131
ADV1225,Tomato (Solanum lycopersicum),UPL Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/adv1225
ADV1285,Tomato (Solanum lycopersicum),ARYSTA LIFE SCIENCE TZ LTD,2022,https://www.tosci.go.tz/seed-varieties/adv1285
ADV2308W,Maize (Zea mays L.),UPL Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/adv2308w
ADV2310W,Maize (Zea mays L.),UPL Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/adv2310w
Advanta 1247,Tomato (Solanum lycopersicum),BYTRADE Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/advanta-1247
Advanta 1277A,Tomato (Solanum lycopersicum),AFRICASIA Seed CO. LTD,2021,https://www.tosci.go.tz/seed-varieties/advanta-1277a
ADVANTA 1405,Watermelon  (Citrullus lanatus    ),BYTRADE Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/advanta-1405
ADVANTA 303,Eggplant (Solanum melongena  ),BYTRADE TZ LTD,2021,https://www.tosci.go.tz/seed-varieties/advanta-303
ADVANTA 309,Eggplant (Solanum melongena  ),BYTRADE TZ LTD,2021,https://www.tosci.go.tz/seed-varieties/advanta-309
ADVANTA 814,Okra (Abelmoschus esculentus  ),BYTRADE Tanzania Ltd.,2021,https://www.tosci.go.tz/seed-varieties/advanta-814
AFADJA,Hot pepper (Capsicum annuum ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/afadja
Africa red F1,Onion (Alium cepa),UPL Tanzania Ltd,2023,https://www.tosci.go.tz/seed-varieties/africa-red-f1
African Beauty F1,Eggplant  (Solanum melongena),Continental Seeds Company,2023,https://www.tosci.go.tz/seed-varieties/african-beauty-f1
Agri F1,Tomato (Solanum lycopersicum),Agrichem Africa Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/agri-f1
AGRISEED H351,Maize (Zea mays L.),AGRISEED TECHNOLOGIES,2017,https://www.tosci.go.tz/seed-varieties/agriseed-h351
AGRISEED H352,Maize (Zea mays L.),AGRISEED TECHNOLOGIES,2017,https://www.tosci.go.tz/seed-varieties/agriseed-h352
AGUARA 4,Sunflower (Helianthus annus L.),Advanta Seed Company Ltd,2015,https://www.tosci.go.tz/seed-varieties/aguara-4
AGUARA 6,Sunflower (Helianthus annus L.),Advanta Seed Company,2020,https://www.tosci.go.tz/seed-varieties/aguara-6
AKERI,Amaranth  (Amaranthus spp ),HORTI- Tengeru,2021,https://www.tosci.go.tz/seed-varieties/akeri
ALMASI F1,Cabbage (Brassica oleracea var. capitata  ),Kibo Seed Company Ltd,2021,https://www.tosci.go.tz/seed-varieties/almasi-f1
ALPES RZ F1,Melon (Cucumis melo  ),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/alpes-rz-f1
AMBASSADOR,Squash ( Cucurbita Maxima ),MONSANTO TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/ambassador
AMBURANA,Tomato,RIJK ZWAAN AFRISEM LTD,2025,https://www.tosci.go.tz/seed-varieties/amburana
AMBURENI,African nightshade (Solanum scabram),HORTI- Tengeru,2021,https://www.tosci.go.tz/seed-varieties/ambureni
AMH500,Maize (Zea mays L.),Alsem Seed Company,2019,https://www.tosci.go.tz/seed-varieties/amh500
AMH501,Maize (Zea mays L.),Alsem Seed Company,2019,https://www.tosci.go.tz/seed-varieties/amh501
AMY,Garden beans (Phaseolus vulgaris  ),Monsanto Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/amy
ANCILA,Sunflower (Helianthus annus L.),East African Seed(T) Company Limited,2020,https://www.tosci.go.tz/seed-varieties/ancila
ANDAMAN F1,Watermelon  (Citrullus lanatus    ),East West Seed (T)Limited,2021,https://www.tosci.go.tz/seed-varieties/andaman-f1
