variety_name,crop_type_en,crop_type_sw,tosci_certified,source_url,tpri_registered
H 515,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
H511,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
H625,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
H632,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
Hombolo 95,cassava,Muhogo,True,https://www.tosci.go.tz/seed-varieties,False
Kalalu,rice,Mchele/Mpunga,True,https://www.tosci.go.tz/seed-varieties,False
KIBO KALE,kale,Sukuma Wiki,True,https://www.tosci.go.tz/seed-varieties,False
Kito,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
Lishe –K1,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
Longe 2H,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
Naliendele,cassava,Muhogo,True,https://www.tosci.go.tz/seed-varieties,False
PAN 23,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
Record,sunflower,Alizeti,True,https://www.tosci.go.tz/seed-varieties,False
Uh615,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
.TANWAT T.87,triticale,Triticale,True,https://www.tosci.go.tz/seed-varieties,False
G19,maize,Mahindi,True,https://www.tosci.go.tz/seed-varieties,False
8519,barley,Shayiri,True,https://www.tosci.go.tz/seed-varieties,False
9831,barley,Shayiri,True,https://www.tosci.go.tz/seed-varieties,False
AC 1,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties,False
AC 10,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties,False
AC 10/129,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
AC 10/220,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
AC 14,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
AC 22,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
AC 34,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
AC 4,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
AC 4/17,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
AC 4/285,cashew,Korosho,True,https://www.tosci.go.tz/seed-varieties?page=2,False
